id,artist
296,Harry Richman With Earl Burtnett & His Los Angeles Biltmore Hotel Orchestra
297,Helen Kane
298,Helen Morgan
299,Henry Mancini
300,"Henry Mancini, Conductor"
301,Herb Alpert & The Tijuana Brass
302,"Herbert von Karajan cond. Philharmonia Orchestra; Elisabeth Schwarzkopf, Christa Ludwig & Teresa Stich-Randall"
303,Herbie Hancock
304,Hoagy Carmichael & His Orchestra
305,Hoagy Carmichael & His Pals
306,Howlin' Wolf
307,"Huddie ""Leadbelly"" Ledbetter"
308,"Huddie ""Leadbelly"" Ledbetter With The Golden Gate Quartet"
309,Hugh Masekela
310,Igor Stravinsky cond. Columbia Symphony Orchestra Plus Spoken Reminiscing Apropos Of Le Sacre
311,Ike & Tina Turner
312,Irma Thomas
313,Isaac Hayes
314,Isham Jones & His Orchestra
315,Jackie Brenston & His Delta Cats
316,Jackie DeShannon
317,Jackie Wilson
318,Jackson 5
319,Jackson Browne
320,Jaco Pastorius
321,James Brown
322,James Brown & The Famous Flames
323,James Carr
324,James Moody
325,James P. Johnson
326,James Taylor
327,Jan & Dean
328,Janis Ian
329,Janis Joplin
330,Jascha Heifetz with Alfred Wallenstein cond. Los Angeles Philharmonic
331,"Jascha Heifetz, Emanuel Feuermann, Artur Rubinstein"
332,Jascha Heifetz; Arturo Toscanini cond. NBC Symphony Orchestra
333,Jeanette MacDonald & Nelson Eddy
334,Jeannie C. Riley
335,Jefferson Airplane
336,Jelly Roll Morton
337,Jerry Lee Lewis
338,Jim Reeves
339,Jimi Hendrix
340,Jimmie Davis
341,Jimmie Lunceford & His Orchestra
342,Jimmie Rodgers
343,Jimmie Rodgers Featuring Louis Armstrong
344,Jimmy Buffett
345,Jimmy Cliff
346,"Jimmy Cliff With Toots & The Maytals, Desmond Dekker, The Melodians, Scotty, & The Slickers"
347,Jimmy Dorsey & His Orchestra
348,Jimmy Forrest
349,Jo Stafford
350,Joan Baez
351,Joan Jett & The Blackhearts
352,João Gilberto
353,Joe Cocker
